lsoa11,r_dec,h_dec,e_dec,ahah_dec,r_dom,h_dom,e_dom,ahah
E01000366,10,2,8,10,72.5107112,3.093940661,29.24597841,34.6316474
E01000367,5,5,10,9,15.62048728,11.97832587,66.32068163,31.11321654
E01000368,4,5,10,8,11.22161449,15.40795133,52.22988688,26.17769891
E01000369,8,4,9,9,31.47309681,11.22781865,47.2709371,29.80298953
E01000370,9,3,9,9,42.91795634,6.23258229,41.01588887,29.8172469
E01000371,5,5,9,7,13.60714301,15.55298933,45.01086518,24.63195907
E01000372,7,2,10,9,25.26010424,5.058181567,61.39320859,30.31537497
E01000373,6,4,10,9,16.83777052,9.7748577,64.24807314,30.08178003
E01000374,4,7,10,9,10.18796955,26.99814291,61.63786373,32.88189357
E01000375,8,4,8,7,28.33672653,9.556209395,30.80735051,22.76665662
E01000376,7,5,9,9,23.73108036,13.70368316,47.28793689,28.09552796
