longitude,latitude,rank,metro_area,pop,year,name,Y,X
1645401.3846196022,369094.44625939615,6,Baltimore,353,1880,"Baltimore, MD, USA",39.2903848,-76.6121893
981897.663930694,239101.6451391023,7,Cincinnati,307,1880,"Cincinnati, OH, USA",39.1031182,-84.5120196
1339643.7539514583,442625.07253996487,8,Pittsburgh,265,1880,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
-2275432.307784675,349152.707042558,9,San Francisco,236,1880,"San Francisco, CA, USA",37.7749295,-122.4194155
571370.0657730749,-825013.831012461,10,New Orleans,219,1880,"New Orleans, LA, USA",29.95106579999999,-90.0715323
1796324.3447050054,788287.1398821838,11,Albany,178,1880,"Albany, NY, USA",42.6525793,-73.7562317
1383166.0954311108,728166.9433833254,12,Buffalo,171,1880,"Buffalo, NY, USA",42.88644679999999,-78.8783689
1180833.0887593785,537148.6327121885,13,Cleveland,169,1880,"Cleveland, OH, USA",41.49932,-81.6943605
1618357.9362595072,319724.89159618074,14,"Washington, DC",164,1880,"Washington, DC, USA",38.9071923,-77.0368707
1057362.9018611417,613370.7849437178,15,Detroit,147,1880,"Detroit, MI, USA",42.331427,-83.0457538
886053.5483151034,132148.6722439323,16,Louisville,143,1880,"Louisville, KY, USA",38.2526647,-85.7584557
2005241.5662940776,745291.7254146772,17,Providence,128,1880,"Providence, RI, USA",41.8239891,-71.4128343
655140.6668297618,648176.321968156,18,Milwaukee,121,1880,"Milwaukee, WI, USA",43.0389025,-87.9064736
1478682.3236268333,776933.5041766829,19,Rochester,103,1880,"Rochester, NY, USA",43.15657789999999,-77.6088465
215403.25513338376,839558.563352418,20,Minneapolis,94,1880,"Minneapolis, MN, USA",44.977753,-93.2650108
1826306.8215123028,572323.5961299175,1,New York,2977,1890,"New York, NY, USA",40.7127753,-74.0059728
1750159.3590360114,467500.28292565123,2,Philadelphia,1180,1890,"Philadelphia, PA, USA",39.9525839,-75.1652215
688894.5581520521,520848.0215347835,3,Chicago,1141,1890,"Chicago, IL, USA",41.8781136,-87.6297982
2017891.0935164597,810721.5487696491,4,Boston,818,1890,"Boston, MA, USA",42.3600825,-71.0588801
499943.2577844952,141578.9028524153,5,St. Louis,490,1890,"St. Louis, MO, USA",38.6270025,-90.19940419999999
1645401.3846196022,369094.44625939615,6,Baltimore,453,1890,"Baltimore, MD, USA",39.2903848,-76.6121893
1339643.7539514583,442625.07253996487,7,Pittsburgh,396,1890,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
981897.663930694,239101.6451391023,8,Cincinnati,344,1890,"Cincinnati, OH, USA",39.1031182,-84.5120196
215403.25513338376,839558.563352418,9,Minneapolis,305,1890,"Minneapolis, MN, USA",44.977753,-93.2650108
-2275432.307784675,349152.707042558,10,San Francisco,302,1890,"San Francisco, CA, USA",37.7749295,-122.4194155
1180833.0887593785,537148.6327121885,11,Cleveland,274,1890,"Cleveland, OH, USA",41.49932,-81.6943605
1383166.0954311108,728166.9433833254,12,Buffalo,272,1890,"Buffalo, NY, USA",42.88644679999999,-78.8783689
1618357.9362595072,319724.89159618074,13,"Washington, DC",253,1890,"Washington, DC, USA",38.9071923,-77.0368707
571370.0657730749,-825013.831012461,14,New Orleans,245,1890,"New Orleans, LA, USA",29.95106579999999,-90.0715323
1057362.9018611417,613370.7849437178,15,Detroit,237,1890,"Detroit, MI, USA",42.331427,-83.0457538
655140.6668297618,648176.321968156,16,Milwaukee,212,1890,"Milwaukee, WI, USA",43.0389025,-87.9064736
1796324.3447050054,788287.1398821838,17,Albany,189,1890,"Albany, NY, USA",42.6525793,-73.7562317
886053.5483151034,132148.6722439323,18,Louisville,183,1890,"Louisville, KY, USA",38.2526647,-85.7584557
121789.91892274926,180212.1714247109,19,Kansas City,165,1890,"Kansas City, MO, USA",39.0997265,-94.5785667
2005241.5662940776,745291.7254146772,20,Providence,163,1890,"Providence, RI, USA",41.8239891,-71.4128343
