city,other_name,country,latitude,longitude,certainty,year,population
Changchun,"Hsinking, Kwangchingtsu",China,43.9,125.2,1,1800,30000
Changsha,NA,China,28.196111,112.972222,1,1800,85000
Chaozhou,"Chaochow, Chaohsien",China,23.67,116.63,3,1800,40000
Charleston,South Carolina,United States of America,32.7833,-79.9333,1,1800,18844
Chatham,NA,United Kingdom,51.37891,0.52786,2,1800,20000
Chengde,Jehol,China,40.966667,117.933333,3,1800,60000
Chengdu,NA,China,30.66667,104.06667,1,1800,97000
Chhapra,NA,India,25.7848,84.7274,3,1800,35000
Chinkiang,Zhenjiang,China,32.2,119.416667,2,1800,60000
Chongqing,"Chonquing, Chungking",China,29.56301,106.551557,2,1800,53000
Clermont,NA,France,45.7831,3.0824,2,1800,24000
Cochabamba,Oropesa,Bolivia,-17.3895,-66.1568,1,1800,22000
Cologne,"Koln, Coln",Germany,50.937531,6.960278,1,1800,41000
Colombo,NA,Sri Lanka,6.9344,79.8428,1,1800,24000
Constantine,NA,Algeria,36.365,6.61472,1,1800,25000
Copenhagen,NA,Denmark,55.67594,12.56553,1,1800,100000
Cordoba,"Cordova, CÛrdoba",Spain,38.046133,-4.893564,2,1800,28000
Cork,NA,Ireland,51.89797,-8.47061,1,1800,53000
Cremona,NA,Italy,45.13617,10.02797,1,1800,21111
Cuttack,NA,India,20.46497,85.87927,1,1800,35000
Cuzco,NA,Peru,-13.525,-71.972222,1,1800,34000
Damascus,NA,Syria,33.5102,36.29128,1,1800,90000
Datong,"Taitong, Tatung",China,40.083333,113.3,2,1800,35000
Debrecen,NA,Hungary,47.53333,21.63333,1,1800,27000
Delhi,NA,India,28.65381,77.22897,1,1800,140000
Deri Ghazi Khan,NA,Pakistan,30.053049,70.637093,1,1800,31000
Dhaka,Dacca,India,23.709921,90.407143,1,1800,106000
Dieppe,NA,France,49.922992,1.077483,1,1800,20000
Dijon,NA,France,47.31667,5.01667,1,1800,21000
Dinajpur,NA,Bangladesh,25.62745,88.63779,2,1800,30000
Diyarbakir,Diarbekr,Turkey,37.914411,40.230628,1,1800,38000
Dongola,"Pachoras, Mukarra",Sudan,19.16667,30.48333,1,1800,10000
Dresden,NA,Germany,51.05089,13.73832,1,1800,61000
Dublin,NA,Ireland,53.33306,-6.24889,1,1800,165000
Dumyat,Damietta,Egypt,31.41648,31.81332,1,1800,22000
Dundee,NA,United Kingdom,56.5,-2.96667,1,1800,25000
Dunkerque,Dunkirk,France,51.0383,2.3775,1,1800,21000
Ecija,…cija,Spain,37.5422,-5.0826,1,1800,24000
Edessa,Urfa,Turkey,37.15,38.8,1,1800,22000
Edinburgh,NA,United Kingdom,55.95206,-3.19648,1,1800,82000
Edirne,Adrianople,Turkey,41.681808,26.562269,1,1800,80000
Erzurum,"Theodosiopolis, Erzerum",Turkey,39.90861,41.27694,1,1800,48000
Esfahan,Isfahan,Iran,32.651389,51.679192,1,1800,50000
Evora,…vora,Portugal,38.56667,-7.9,1,1800,14200
Faizabad,"Ayodhya, Ajodhya, Fyzabad",India,26.779386,82.142169,2,1800,45000
Farrukhabad,NA,India,27.39048,79.58006,3,1800,66000
Ferrara,NA,Italy,44.82678,11.62071,1,1800,28000
Fez,Fes,Morocco,34.033333,-5.01,1,1800,40000
Florence,Firenze,Italy,43.771033,11.248,1,1800,61000
Frankfurt am Main,NA,Germany,50.110922,8.682128,1,1800,42000
Fukui,NA,Japan,36.065178,136.221527,1,1800,35000
Fuzhou,"Fuchow, Hokchiu, Fujian province",China,26.076111,119.306389,1,1800,130000
Gauda,"Lakhnauti, Gaur",India,24.866667,88.133333,2,1800,20000
Gaya,NA,India,24.79686,85.00385,1,1800,30000
Gdansk,Danzig,Poland,54.352025,18.64663,2,1800,41072
Gelibolu,Gallipoli,Turkey,40.333333,26.499992,1,1800,17000
Geneva,GenËve,Switzerland,46.198392,6.142297,1,1800,26000
Genova,Genoa,Italy,44.40565,8.946256,1,1800,49000
Gent,Ghent,Belgium,51.053469,3.730378,1,1800,51000
Glasgow,NA,United Kingdom,55.86515,-4.25763,1,1800,84000
Gorakhpur,NA,India,26.760555,83.373168,2,1800,31000
Granada,NA,Spain,37.177336,-3.598558,1,1800,53000
Graz,NA,Austria,47.06667,15.45,1,1800,28000
Grenoble,NA,France,45.16667,5.71667,1,1800,21000
Groningen,NA,Netherlands,53.21917,6.56667,1,1800,22000
Guadalajara,NA,Mexico,20.673819,-103.343489,1,1800,31000
Guanajuato,NA,Mexico,21.01858,-101.2591,1,1800,53000
Guangzhou,Canton,China,23.11667,113.25,1,1800,800000
Guatemala City,Iximche,Guatemala,14.64072,-90.51327,1,1800,25000
Guayaquil,NA,Ecuador,-2.18194,-79.89167,1,1800,23000
Guilin,"Gwilin, Kweilin",China,25.273566,110.290195,3,1800,38000
Guiyang,"Gwiyang, Kweiyang",China,26.647661,106.630154,1,1800,65000
Gwalior,NA,India,26.22982,78.17337,1,1800,30000
Haarlem,NA,Netherlands,52.38084,4.63683,1,1800,21000
Fukuoka,Hakata,Japan,33.591389,130.414722,2,1800,40000
Hama,NA,Syria,35.133333,36.75,2,1800,30000
Hamadan,NA,Iran,34.79922,48.51456,1,1800,30000
Hamburg,NA,Germany,53.57532,10.01534,1,1800,117000
Hangzhou,Hangchow,China,30.25,120.166667,2,1800,387000
Hanoi,H‡ Noi,Vietnam,21.033333,105.85,1,1800,60000
